"","DateRep","day","month","year","Cases","Deaths","Countries.and.territories","geoId","countryterritoryCode","popData2018","continentExp","t"
"13091","26/04/2020",26,4,2020,1729,288,"Spain","ES","ESP",46723749,"Europe",2020.31693989071
"13090","27/04/2020",27,4,2020,1831,331,"Spain","ES","ESP",46723749,"Europe",2020.31967213115
"13089","28/04/2020",28,4,2020,1308,301,"Spain","ES","ESP",46723749,"Europe",2020.32240437158
"13088","29/04/2020",29,4,2020,2144,453,"Spain","ES","ESP",46723749,"Europe",2020.32513661202
"13087","30/04/2020",30,4,2020,518,268,"Spain","ES","ESP",46723749,"Europe",2020.32786885246
"13086","01/05/2020",1,5,2020,1781,281,"Spain","ES","ESP",46723749,"Europe",2020.3306010929
"13085","02/05/2020",2,5,2020,1366,276,"Spain","ES","ESP",46723749,"Europe",2020.33333333333
"13084","03/05/2020",3,5,2020,884,164,"Spain","ES","ESP",46723749,"Europe",2020.33606557377
"13083","04/05/2020",4,5,2020,545,164,"Spain","ES","ESP",46723749,"Europe",2020.34153005464
"13082","05/05/2020",5,5,2020,1318,185,"Spain","ES","ESP",46723749,"Europe",2020.34426229508
